lat,lon,pop
12.15,-86.2667,1026459
1.0678,104.0167,1025569
30.1286,31.2422,1025360
-9.6658,-35.735,1024876
6.3106,-10.8047,1022514
39.6271,121.9972,1021762
31.169,112.5853,1020886
46.4775,30.7326,1017699
18.5425,-72.3386,1015586
30.0687,-89.9288,1014825
17.9892,-92.9281,1014227
10.7924,106.7518,1013900
48.7086,44.5147,1013795
12.3086,76.6531,1013484
33.6989,73.0369,1010087
22.3559,110.9369,1008290
21.2379,81.6337,1005904
-16.3988,-71.5369,1005654
4.75,7.0,1004741
38.1663,-85.6485,1004132
32.1287,112.7581,1003698
33.4433,114.8994,1001694
25.091,104.9011,1001205
25.18,75.83,1000000
30.192,67.007,1000000
45.4247,-75.695,993000
59.3294,18.0686,990306
15.3333,38.9167,989567
8.4833,-13.2331,987310
17.9667,102.6,986400
31.7833,35.2167,984100
4.3732,18.5628,983356
9.0,-79.5,981738
52.3667,4.8833,980948
6.1319,1.2228,980662
0.3901,9.4544,980588
45.8131,15.9772,977700
38.5731,68.7864,977234
-13.9833,33.7833,975819
6.402,2.518,975453
6.9167,79.8333,975000
-25.7464,28.1881,972943
49.8844,-97.1464,972525
46.8139,-71.2081,972400
59.9111,10.7528,966144
37.9842,23.7281,964169
-3.3825,29.3611,963000
60.1756,24.9342,962555
41.9833,21.4333,961200
47.0228,28.8353,960423
56.9475,24.1069,959823
17.9714,-76.7931,953900
34.0253,-6.8361,953300
54.6833,25.2833,951558
13.6989,-89.1914,951000
11.595,43.1481,948855
53.3497,-6.2603,948757
52.08,4.31,948487
-25.3,-57.6333,947952
38.708,-9.139,947723
48.1447,17.1128,946627
43.4186,-80.4728,945651
59.4372,24.745,940509
33.8869,35.5131,936349
-33.925,18.425,936000
41.33,19.82,935977
-41.2889,174.7772,935084
-6.1835,35.746,934424
44.6475,-63.5906,929063
11.8592,-15.5956,928850
-35.2931,149.1269,924531
4.85,31.6,924449
6.8161,-5.2742,920628
48.4283,-123.3647,920471
-29.31,27.48,919899
35.1725,33.365,919438
-22.57,17.0836,916857
-9.4789,147.1494,914970
6.4833,2.6167,914341
-19.0431,-65.2592,914047
9.9333,-84.0833,913700
46.05,14.5167,913681
43.8563,18.4132,909724
25.0667,-77.3333,909585
-29.1,26.2167,908400
14.6104,-61.08,908109
28.6139,77.209,906092
-24.6569,25.9086,905852
5.8667,-55.1667,905152
-8.5536,125.5783,903887
4.175,73.5083,903312
6.7833,-58.1667,902500
36.1324,-5.3781,900500
-20.8789,55.4481,892363
3.7521,8.7737,891800
42.4397,19.2661,890000
26.225,50.5775,889231
-20.1667,57.5,888924
12.108,-68.935,888797
46.948,7.4474,888486
-17.5334,-149.5667,887399
49.6106,6.1328,887000
64.1475,-21.935,886722
14.9177,-23.5092,881476
6.9,79.9164,880691
13.0975,-59.6167,878062
-11.7036,43.2536,878000
27.4833,89.6333,877662
-26.3208,31.1617,874543
-22.2625,166.4443,874127
-9.4333,159.95,873725
-18.1333,178.4333,872000
39.93,32.85,870952
14.0167,-60.9833,868715
4.933,-52.33,868277
0.3333,6.7333,867678
-17.7333,168.3167,866772
32.2942,-64.7839,866337
4.9167,114.9167,866118
43.7396,7.4069,864431
-3.4283,29.925,862965
10.6667,-61.5167,861300
-13.8333,-171.8333,859424
1.3382,173.0176,855563
12.5186,-70.0358,852800
49.1858,-2.11,852000
13.4531,-16.5775,851374
-12.7871,45.275,850403
7.0918,171.3802,850000
54.15,-4.4819,849090
19.2866,-81.3744,847903
-4.6236,55.4544,847819
13.1667,-61.2333,847582
42.5,1.5,847430
17.1211,-61.8447,846000
-21.1347,-175.2083,845300
37.95,58.3833,844583
64.175,-51.7333,843386
17.25,-88.7675,840000
15.3,-61.3833,839786
17.2983,-62.7342,837737
62.0,-6.7833,837437
-14.274,-170.7046,834881
35.8978,14.5125,834437
31.5069,34.456,833276
21.4664,-71.136,830106
6.9178,158.185,829134
-8.5243,179.1942,826000
47.1397,9.5219,823523
-26.4465,31.2064,822455
-21.207,-159.771,821652
12.0444,-61.7417,820987
43.932,12.4484,819446
31.7764,35.2269,819000
15.2137,145.7546,816925
-51.7,-57.85,811800
41.9033,12.4534,810447
-19.056,-169.921,810306
16.0104,-61.7055,809535
13.4745,144.7504,808416
18.0706,-63.0847,807857
-15.9251,-5.7179,804114
16.7928,-62.2106,803159
18.0256,-63.0492,801940
-0.5477,166.9209,801718
42.6633,21.1622,800000
17.8958,-62.8508,800000
18.4167,-64.6167,797200
7.5006,134.6242,797003
46.7811,-56.1764,790646
18.2167,-63.05,790017
-13.2825,-176.1736,789744
-29.0569,167.9617,789194
78.2167,15.6333,788211
26.0928,-10.6089,787216
-25.0667,-130.0833,787000
-10.4167,105.7167,782000
-54.2833,-36.5,781538
28.364,79.415,778500
16.06,108.25,776249
24.1681,115.6669,775404
32.8534,120.3037,772828
31.05,31.3833,772113
24.1878,113.4042,771128
35.6073,140.1064,771000
0.5333,101.45,768551
22.7645,111.5745,767417
48.4675,35.04,766936
31.9948,119.575,766739
-6.9838,-60.2699,765911
19.5,109.5833,764104
6.9167,122.0833,762900
35.4667,44.4,762140
40.8333,14.25,762111
21.4283,110.7749,762000
31.8131,121.6574,761195
35.4676,-97.5136,760781
19.7683,-101.1894,760084
10.293,123.902,758079
30.0,120.5833,755910
11.0,76.9667,753370
18.4855,-69.8734,752993
35.6464,139.6533,751389
37.4386,127.1378,751331
22.2486,112.785,750845
21.6,108.3,750000
17.6715,75.9104,750000
35.7767,-5.8039,750000
36.3619,119.1072,749522
36.186,116.772,744554
34.3167,47.0686,743691
33.8833,130.8833,743000
34.1736,112.839,742463
15.6333,32.6333,741717
0.5153,25.1911,741651
21.876,-102.296,740435
31.6295,-7.9811,740000
48.0089,37.8042,739573
-8.1119,-79.0289,738385
30.8706,105.3784,737187
41.1918,-73.1953,737011
10.8269,78.6928,736224
34.3662,118.3369,734870
45.768,131.0063,733000
19.4753,-99.2378,731000
5.4833,7.0333,730266
-0.9556,100.3606,728935
36.6967,118.4797,728402
42.9016,-78.8487,728160
30.2965,108.9378,727750
30.1003,114.9699,726722
32.7811,-97.3473,724700
22.6896,109.2674,724314
-20.4686,-54.6222,722973
39.6896,122.9664,722243
41.7661,-72.6834,721599
11.1833,-4.2833,720043
26.4333,50.1,720000
29.6458,91.1408,718353
36.2481,119.9625,717700
14.5167,121.05,717000
20.97,-89.62,716672
22.1717,111.7846,715774
37.4989,126.7831,714978
36.0819,114.3481,714211
14.5842,121.1763,713321
15.3619,75.1231,712434
7.15,3.35,710210
21.1606,-86.8475,709665
32.1545,-110.8782,709500
45.0333,38.9833,708127
-5.795,-35.2089,705478
28.6353,-106.0889,705244
3.0333,101.45,705103
45.0667,7.7,704891
33.4258,43.2992,704570
36.9758,120.7136,703952
34.05,-6.8167,703498
31.3256,75.5792,703141
34.8519,114.3481,702621
6.6186,3.3426,700000
-7.98,112.62,698852
43.2964,5.37,697315
25.4333,-101.0,696863
36.3833,119.75,695947
4.6,101.07,694844
32.532,120.4604,693700
35.6969,-0.6331,693645
29.0989,-110.9542,693494
37.1792,119.9333,693236
38.4261,77.25,693072
28.9632,117.1203,693000
47.4585,126.9632,692793
31.1817,115.0189,692080
7.25,5.195,691931
8.5,4.55,691595
-5.0949,-42.8042,690844
37.6823,112.7281,690457
41.2627,-96.0522,690422
51.5333,46.0,690100
36.1911,44.0094,689992
-22.74,-43.47,689867
31.8479,-106.4309,688597
14.575,121.0833,687130
